"Ciudad","Tipo","Nombre","Precio","Capacidad","Marina","URL","Amenidades"
"Yates Ixtapa","Yate","Yate Azimut 75ft","POR 7 HORASMXN 170,000","15","Porto Ixtapa","https://yatezzitos.com/es/embarcacion/yates-ixtapa-azimut-75/","Capitan | Marinero | Chef | Cervezas | Refrescos | Agua | Hielo | Fruta | Snorkel | Sonido | Luces Sub | Comedor Ext | Sala TV | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"Yates Ixtapa","Yate","Yate Azimut Sport 35ft","POR 7 HORASMXN 38,000","08","Marina Ixtapa","https://yatezzitos.com/es/embarcacion/renta-yates-ixtapa-zihuatanejo-precio-azimut-35/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Sonido | Luces Sub | Comedor Ext | Sala TV | Clima | Cocina | Seguro | Chalecos | GPS | Tripulacion Multilingue"
"Yates Ixtapa","Yate","Yate Orion - Bertram 38ft","POR 7 HORASMXN 15,000","10","Muelle Zihuatanejo","https://yatezzitos.com/es/embarcacion/renta-yates-en-ixtapa-zihuatanejo-orion-35/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Fruta | Snorkel | Sonido | Luces Sub | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"Yates Ixtapa","Yate","Yate Sea Ray Fly 48ft","POR 7 HORASMXN 42,900","12","Marina Ixtapa","https://yatezzitos.com/es/embarcacion/renta-yates-ixtapa-zihuatanejo-ticon-sea-ray-48/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Fruta | Snorkel | Sonido | Luces Sub | Sala TV | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"Yates Ixtapa","Yate","Yate Sea Ray Sundancer 26ft","POR 7 HORASMXN 25,700","7","Marina Ixtapa","https://yatezzitos.com/es/embarcacion/renta-yates-ixtapa-sea-ray-sundancer-26/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Sonido | Luces Sub | Seguro | Chalecos | GPS | Tripulacion Multilingue"
"Yates Ixtapa","Yate","Yate Sea Ray Sundancer 52ft","POR 7 HORASMXN 60,000","12","Marina Ixtapa","https://yatezzitos.com/es/embarcacion/renta-yate-ixtapa-zihuatanejo-sea-ray-52/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Sonido | Luces Sub | Comedor Ext | Sala TV | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
